sl.no |     time |       v0 |       v1 |       v2 |       v3 |       v4 |  valid
-----+----------+----------+----------+----------+----------+----------+--------
    1 | -776.779 |    0.000 |    0.000 |    0.000 |    0.000 |    0.000 |      1
    2 | -778.417 |    0.000 |    0.000 |    0.000 |    0.000 |    0.000 |      1
    3 | -778.935 |    0.000 |    0.000 |    0.000 |    0.000 |    0.000 |      1
    4 | -778.473 |    0.000 |    0.000 |    0.000 |    0.000 |    0.000 |      1
    5 | -777.008 |    0.000 |    0.000 |    0.000 |    0.000 |    0.000 |      1
    6 | -775.640 |    0.000 |    0.000 |    0.000 |    0.000 |    0.000 |      1
    7 | -776.703 |    0.000 |    0.000 |    0.000 |    0.000 |    0.000 |      1
    8 | -778.319 |    0.000 |    0.000 |    0.000 |    0.000 |    0.000 |      1
    9 | -778.932 |    0.000 |    0.000 |    0.000 |    0.000 |    0.000 |      1
   10 | -778.511 |    0.000 |    0.000 |    0.000 |    0.000 |    0.000 |      1
   11 | -777.091 |    0.000 |    0.000 |    0.000 |    0.000 |    0.000 |      1
    1 | -816.500 |   72.026 |   40.083 |   29.635 |   51.167 |   83.070 |      1
    2 | -816.000 |   93.474 |   72.377 |   40.364 |   29.564 |   50.815 |      1
    3 | -815.500 |   83.728 |   93.132 |   70.789 |   39.124 |   29.915 |      1
    4 | -815.000 |   51.660 |   83.455 |   93.215 |   71.145 |   39.395 |      1
    5 | -814.500 |   29.664 |   51.307 |   83.180 |   93.294 |   71.499 |      1
    6 | -814.000 |   38.750 |   30.042 |   52.906 |   84.395 |   92.906 |      1
    7 | -813.500 |   70.648 |   39.017 |   29.951 |   52.548 |   84.130 |      1
    8 | -813.000 |   93.183 |   71.004 |   39.287 |   29.863 |   52.191 |      1
    9 | -812.500 |   84.760 |   92.769 |   69.395 |   38.097 |   30.287 |      1
   10 | -812.000 |   53.048 |   84.499 |   92.868 |   69.755 |   38.357 |      1
   11 | -811.500 |   30.547 |   54.671 |   85.649 |   92.390 |   68.129 |      1
   12 | -811.000 |   37.740 |   30.436 |   54.308 |   85.399 |   92.503 |      1
   13 | -810.500 |   69.252 |   37.995 |   30.329 |   53.947 |   85.145 |      1
   14 | -810.000 |   92.225 |   67.620 |   36.873 |   30.843 |   55.581 |      1
   15 | -809.500 |   85.747 |   92.344 |   67.985 |   37.117 |   30.721 |      1
   16 | -809.000 |   54.452 |   85.498 |   92.459 |   68.348 |   37.365 |      1
   17 | -808.500 |   31.019 |   56.092 |   86.592 |   91.910 |   66.707 |      1
   18 | -808.000 |   36.777 |   30.892 |   55.725 |   86.355 |   92.039 |      1
   19 | -807.500 |   65.826 |   35.726 |   31.494 |   57.376 |   87.398 |      1
   20 | -807.000 |   91.723 |   66.194 |   35.954 |   31.353 |   57.008 |      1
   21 | -806.500 |   86.686 |   91.858 |   66.562 |   36.186 |   31.216 |      1
   22 | -806.000 |   57.891 |   87.708 |   91.221 |   64.906 |   35.172 |      1
   23 | -805.500 |   31.550 |   57.522 |   87.486 |   91.370 |   65.275 |      1
   24 | -805.000 |   34.660 |   32.238 |   59.185 |   88.455 |   90.672 |      1
   25 | -804.500 |   64.389 |   34.871 |   32.079 |   58.814 |   88.245 |      1
   26 | -804.000 |   91.161 |   64.759 |   35.086 |   31.923 |   58.444 |      1
   27 | -803.500 |   88.741 |   90.440 |   63.093 |   34.148 |   32.654 |      1
